City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,77.16,88,20,8.05,TO,1681384876
1,tessalit,20.1986,1.0114,93.54,7,48,10.2,ML,1681384877
2,rikitea,-23.1203,-134.9692,77.92,72,100,15.5,PF,1681384877
3,punta arenas,-53.15,-70.9167,30.31,93,75,6.91,CL,1681384877
4,kolosovka,56.4678,73.611,49.3,62,98,13.35,RU,1681384878
5,bethel,41.3712,-73.414,64.33,59,0,3.44,US,1681384351
6,jucurutu,-6.0339,-37.0203,81.68,67,89,11.41,BR,1681384878
7,robertson,36.5167,-86.8667,52.9,66,100,4.61,US,1681384878
8,byron bay,-28.65,153.6167,61.72,77,14,13.33,AU,1681384807
9,hobart,-42.8794,147.3294,53.06,93,20,0.0,AU,1681384880
10,kapaa,22.0752,-159.319,73.72,87,40,12.66,US,1681384880
11,saint-philippe,-21.3585,55.7679,85.59,77,21,1.74,RE,1681384881
12,airai,-8.9266,125.4092,62.44,94,100,1.32,TL,1681384881
13,rio gallegos,-51.6226,-69.2181,23.05,100,0,2.3,AR,1681384882
14,sao felix do xingu,-6.6447,-51.995,72.88,98,54,0.81,BR,1681384882
15,qaanaaq,77.484,-69.3632,4.35,75,0,6.11,GL,1681384883
16,hermanus,-34.4187,19.2345,69.8,70,59,14.27,ZA,1681384883
17,bluff,-46.6,168.3333,52.81,82,47,21.32,NZ,1681384883
18,biltine,14.5333,20.9167,99.97,10,61,6.42,TD,1681384883
19,dikson,73.5069,80.5464,3.18,86,83,20.71,RU,1681384884
20,mpongwe,-13.5091,28.155,73.83,74,96,2.93,ZM,1681384885
21,new norfolk,-42.7826,147.0587,52.72,71,0,0.85,AU,1681384885
22,estelle,29.8458,-90.1067,63.0,82,100,5.75,US,1681384886
23,ulladulla,-35.35,150.4667,62.76,86,93,10.33,AU,1681384886
24,bonnyville,54.2668,-110.735,28.2,80,68,2.98,CA,1681384886
25,bredasdorp,-34.5322,20.0403,70.57,49,81,16.2,ZA,1681384887
26,bosaso,11.2842,49.1816,84.18,84,20,24.16,SO,1681384887
27,yar-sale,66.8333,70.8333,1.35,86,72,20.07,RU,1681384599
28,kurchaloy,43.2018,46.0881,53.46,91,100,13.73,RU,1681384888
29,mahebourg,-20.4081,57.7,86.25,79,40,2.3,MU,1681384888
30,mae hong son,19.3003,97.9685,102.34,25,20,1.14,TH,1681384888
31,mataura,-46.1927,168.8643,52.48,87,59,8.57,NZ,1681384889
32,leh,34.1667,77.5833,38.79,53,12,3.51,IN,1681384889
33,thompson,55.7435,-97.8558,26.76,93,100,3.44,CA,1681384889
34,tiksi,71.6872,128.8694,-4.58,97,100,4.18,RU,1681384890
35,kattivakkam,13.2167,80.3167,95.09,75,1,13.8,IN,1681384890
36,busselton,-33.65,115.3333,56.91,83,94,22.84,AU,1681384891
37,puerto ayora,-0.7393,-90.3518,75.54,96,43,1.57,EC,1681384891
38,ushuaia,-54.8,-68.3,40.66,81,75,5.75,AR,1681384885
39,fiumicino,41.7675,12.2291,64.49,67,75,12.66,IT,1681384892
40,talnakh,69.4865,88.3972,-9.8,90,100,6.46,RU,1681384892
41,ucluelet,48.9329,-125.5528,41.09,91,100,6.04,CA,1681384774
42,panji,-7.7253,114.0995,78.93,85,100,2.98,ID,1681384893
43,rawson,-43.3002,-65.1023,42.87,49,0,9.57,AR,1681384847
44,hasaki,35.7333,140.8333,58.21,57,0,17.69,JP,1681384773
45,cape town,-33.9258,18.4232,72.37,66,20,11.5,ZA,1681384624
46,lagoa,39.05,-27.9833,59.97,83,88,11.77,PT,1681384894
47,blagoyevo,63.3667,47.9167,21.74,61,4,9.19,RU,1681384894
48,kenai,60.5544,-151.2583,33.89,86,100,13.8,US,1681384894
49,jamestown,42.097,-79.2353,65.79,76,0,11.5,US,1681384895
50,avarua,-21.2078,-159.775,77.05,83,75,4.61,CK,1681384895
51,atuona,-9.8,-139.0333,80.65,66,89,4.36,PF,1681384895
52,kaitangata,-46.2817,169.8464,52.88,90,99,11.63,NZ,1681384895
53,kyren,51.6828,102.1408,34.32,41,34,1.7,RU,1681384896
54,castro,-24.7911,-50.0119,63.79,87,0,2.35,BR,1681384896
55,trat,12.5,102.5,84.07,74,100,6.76,TH,1681384896
56,miraflores,19.2167,-98.8083,58.03,76,56,3.96,MX,1681384897
57,sitka,57.0531,-135.33,37.29,93,100,6.91,US,1681384759
58,harper,4.375,-7.7169,84.58,73,23,5.5,LR,1681384897
59,krasnoselkup,65.7,82.4667,7.65,79,100,14.25,RU,1681384898
60,sao sebastiao,-23.76,-45.4097,76.01,78,0,2.57,BR,1681384898
61,hilo,19.7297,-155.09,70.29,91,100,8.99,US,1681384898
62,vostok,46.4856,135.8833,30.65,79,100,6.49,RU,1681384899
63,issa,53.8705,44.8578,59.38,32,100,16.62,RU,1681384899
64,vestmannaeyjar,63.4427,-20.2734,43.79,81,0,10.36,IS,1681384899
65,naze,28.3667,129.4833,67.12,90,32,13.69,JP,1681384900
66,saskylakh,71.9167,114.0833,-2.52,90,11,5.77,RU,1681384900
67,albany,42.6001,-73.9662,58.64,74,0,1.01,US,1681384706
68,barrow,71.2906,-156.7887,-9.38,84,20,6.91,US,1681384900
69,isangel,-19.55,169.2667,79.83,83,43,4.76,VU,1681384901
70,port alfred,-33.5906,26.891,69.19,75,89,7.0,ZA,1681384901
71,boyolangu,-8.1181,111.8935,77.52,87,100,6.89,ID,1681384901
72,vao,-22.6667,167.4833,77.45,78,100,7.16,NC,1681384902
73,butaritari,3.0707,172.7902,81.45,79,47,12.55,KI,1681384902
74,cabadiangan,9.7531,122.4739,79.32,82,38,3.0,PH,1681384903
75,roald,62.5833,6.1333,54.52,54,0,10.36,NO,1681384903
76,bambous virieux,-20.3428,57.7575,86.22,79,40,2.3,MU,1681384903
77,provideniya,64.3833,-173.3,-5.22,97,69,6.71,RU,1681384904
78,bryant,34.5959,-92.4891,60.42,85,100,1.45,US,1681384904
79,khash,28.2211,61.2158,84.36,11,0,15.99,IR,1681384904
80,arraial do cabo,-22.9661,-42.0278,78.66,78,0,16.11,BR,1681384904
81,gao,16.6362,1.637,98.76,9,96,6.02,ML,1681384904
82,wad rawah,15.1603,33.1397,97.43,9,9,16.31,SD,1681384905
83,lasa,46.6166,10.7002,40.08,92,100,6.93,IT,1681384905
84,severo-kurilsk,50.6789,156.125,33.62,99,100,24.38,RU,1681384906
85,tual,-5.6667,132.75,83.57,74,80,2.37,ID,1681384906
86,key west,24.5557,-81.7826,78.01,83,0,4.61,US,1681384783
87,mweka,-4.85,21.5667,90.91,41,45,2.89,CD,1681384906
88,beyneu,45.3167,55.2,88.16,18,100,5.12,KZ,1681384906
89,sao joao da barra,-21.6403,-41.0511,77.09,79,82,7.99,BR,1681384907
90,fairbanks,64.8378,-147.7164,13.08,84,100,4.61,US,1681384449
91,phenix city,32.471,-85.0008,61.27,89,100,10.36,US,1681384742
92,kavieng,-2.5744,150.7967,83.35,76,99,11.25,PG,1681384907
93,olafsvik,64.8945,-23.7142,36.77,71,20,5.93,IS,1681384908
94,miramar,25.9873,-80.2323,77.0,92,0,3.44,US,1681384740
95,tuktoyaktuk,69.4541,-133.0374,-17.18,100,94,7.05,CA,1681384908
96,meadow lake,34.8014,-106.5436,60.12,37,57,6.11,US,1681384908
97,zaysan,47.4667,84.8667,51.64,30,1,5.21,KZ,1681384908
98,mar del plata,-38.0023,-57.5575,50.09,93,40,4.61,AR,1681384909
99,cidreira,-30.1811,-50.2056,67.93,86,78,19.24,BR,1681384909
100,mogadishu,2.0371,45.3438,85.68,59,100,10.92,SO,1681384746
101,mmabatho,-25.85,25.6333,81.7,26,4,17.45,ZA,1681384909
102,chokurdakh,70.6333,147.9167,-11.16,99,51,5.59,RU,1681384910
103,bathsheba,13.2167,-59.5167,79.41,73,40,16.11,BB,1681384910
104,ilulissat,69.2167,-51.1,23.02,93,100,0.0,GL,1681384911
105,ponta do sol,32.6667,-17.1,72.01,69,12,2.48,PT,1681384911
106,edd,13.9297,41.6925,88.09,64,82,10.85,ER,1681384912
107,petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,80,75,13.42,RU,1681384912
108,dolinsk,47.35,142.8,33.89,82,98,7.83,RU,1681384912
109,muisne,0.6,-80.0333,76.62,90,66,4.59,EC,1681384912
110,conceicao do araguaia,-8.2578,-49.2647,76.96,86,74,2.3,BR,1681384912
111,fortuna,40.5982,-124.1573,37.98,89,38,4.43,US,1681384913
112,auki,-8.7676,160.7034,77.52,88,71,3.51,SB,1681384913
113,laguna,38.421,-121.4238,51.3,45,0,17.27,US,1681384913
114,nanakuli,21.3906,-158.1547,75.15,75,0,4.61,US,1681384913
115,port keats,-14.25,129.55,80.6,82,99,4.79,AU,1681384913
116,ahipara,-35.1667,173.1667,62.2,94,91,6.42,NZ,1681384914
117,bengkulu,-3.8004,102.2655,81.21,79,91,3.85,ID,1681384914
118,port elizabeth,-33.918,25.5701,78.1,51,0,19.57,ZA,1681384914
119,srednekolymsk,67.45,153.6833,-5.78,100,20,2.57,RU,1681384915
120,komsomolskiy,40.4272,71.7189,77.72,33,100,2.3,UZ,1681384915
121,sao jose da laje,-9.0097,-36.0583,78.08,79,93,8.43,BR,1681384915
